transaction_id,timestamp,day_index,hour,sender_bank,receiver_bank,channel,amount,corridor_reliability,failed
1e04e454-09a7-4e1a-aba0-f56b300e14b7,2025-01-01T00:00:14,0,0,Stanbic IBTC,Opay,mobile_money,27805.79,0.7151,0
de408bbe-8f2d-4a0c-9c05-01e2683e83b7,2025-01-01T00:03:36,0,0,Fidelity Bank,Zenith Bank,bank_transfer,373949.48,0.7317,0
caa661c9-7b88-4df0-bdfe-7c94cc34cceb,2025-01-01T00:09:29,0,0,GTBank,UBA,ussd,17577.35,0.8768,0
1ab90e8e-f068-4cce-b062-2286f3ef953a,2025-01-01T00:11:19,0,0,Moniepoint,Stanbic IBTC,card,24048.45,0.7724,0
41dfdb8f-054e-460f-8e46-76b334c488ba,2025-01-01T00:13:43,0,0,Moniepoint,Access Bank,bank_transfer,1122918.06,0.9436,0
278a0fa2-bab6-4033-ad93-ce376f5d4d6c,2025-01-01T00:16:15,0,0,Fidelity Bank,First Bank,ussd,43353.94,0.7492,0
73892033-87c2-4843-9b15-95238231a17c,2025-01-01T00:17:11,0,0,Opay,Moniepoint,bank_transfer,106562.93,0.7385,1
0ec0713d-ea2c-4a51-b688-d11fce4758be,2025-01-01T00:20:11,0,0,Zenith Bank,UBA,mobile_money,56497.21,0.734,0
c07c13d7-532c-40d5-bfe7-c97eb17e5945,2025-01-01T00:24:31,0,0,GTBank,Opay,bank_transfer,2613.41,0.9452,0
dc86ea6a-668d-41bf-b513-52519037fee9,2025-01-01T00:24:44,0,0,Stanbic IBTC,Moniepoint,bank_transfer,19586.04,0.9313,0
060072c3-ea7a-409e-a77e-e2a9853b0173,2025-01-01T00:26:20,0,0,Stanbic IBTC,Opay,mobile_money,8939.29,0.7151,0
eee38535-2cfa-4cd0-b687-f303b6752086,2025-01-01T00:26:37,0,0,Access Bank,UBA,bank_transfer,13176.99,0.8446,1
a4bb1527-0ab9-48f9-b718-14a89eef1db5,2025-01-01T00:27:00,0,0,Opay,Zenith Bank,ussd,216469.06,0.7392,1
118a0914-0def-4939-bc40-a824f46c1cde,2025-01-01T00:30:37,0,0,Zenith Bank,Access Bank,card,362883.96,0.7977,0
ad01b4ae-5201-4aeb-af8d-0ff22a7430a2,2025-01-01T00:30:43,0,0,First Bank,Moniepoint,mobile_money,166901.94,0.8159,0
66f4a892-d22e-4018-9d8d-ab6acbacc8b6,2025-01-01T00:30:53,0,0,Zenith Bank,Access Bank,ussd,212423.38,0.7977,1
e204c35e-4677-477a-8457-829283a876cc,2025-01-01T00:35:42,0,0,GTBank,Access Bank,card,15995.11,0.8986,0
eea211c9-91af-4326-9a0c-ef0c2c224b76,2025-01-01T00:38:04,0,0,Access Bank,Moniepoint,mobile_money,32112.24,0.7928,0
92f71993-4884-4b5b-8dd3-214cb4508610,2025-01-01T00:40:13,0,0,First Bank,Moniepoint,bank_transfer,100489.67,0.8159,0
6d3d82bf-d52d-484c-b8d3-dd5e7f09f6a9,2025-01-01T00:42:29,0,0,Opay,First Bank,card,66142.61,0.735,0
bdcec8eb-4523-413b-a747-1a8c15d1ae83,2025-01-01T00:42:49,0,0,Kuda,GTBank,ussd,30494.42,0.7178,0
6d204496-66d0-4371-98e8-8ebb7a9e8eef,2025-01-01T00:43:16,0,0,Moniepoint,Kuda,ussd,97512.23,0.8289,0
e6af993c-700f-4e85-aea7-56a8229ea406,2025-01-01T00:45:16,0,0,Opay,GTBank,mobile_money,52858.03,0.8155,0
4fa4affc-196c-4302-a568-79208b7ff620,2025-01-01T00:48:52,0,0,Zenith Bank,Fidelity Bank,mobile_money,55156.89,0.9636,1
76b90472-7470-424c-b9f6-b641063ff61e,2025-01-01T00:49:52,0,0,UBA,Opay,card,128341.46,0.737,0
b4666d99-46d5-4341-ad50-a84e71bfd71b,2025-01-01T00:50:22,0,0,GTBank,Kuda,card,38594.97,0.847,0
0e63aaa7-a377-4146-a2b1-f74f45aae845,2025-01-01T00:51:19,0,0,First Bank,Zenith Bank,mobile_money,230016.77,0.7276,0
b2f9fa1a-53c5-4448-b61c-c55b8fd0720c,2025-01-01T00:51:23,0,0,GTBank,First Bank,card,354622.87,0.8794,1
6fc894a8-90eb-448e-98cc-caafa2003e8d,2025-01-01T00:51:48,0,0,Opay,Kuda,mobile_money,153792.04,0.8515,1
1ce100e3-88a5-4bc6-bf94-b6ea854dd018,2025-01-01T00:54:08,0,0,Zenith Bank,GTBank,mobile_money,39280.89,0.8216,0
fcea545a-c066-48e4-b013-b8e468729600,2025-01-01T00:54:17,0,0,Fidelity Bank,Opay,card,9368.45,0.6948,0
e05f039c-d98e-4024-8813-20254dacd33c,2025-01-01T00:55:18,0,0,Moniepoint,GTBank,mobile_money,36195.81,0.8806,0
63a1e752-e570-4f81-85d7-ead667499662,2025-01-01T00:57:54,0,0,First Bank,Opay,bank_transfer,17304.11,0.7356,1
8294f132-21d8-412d-bdac-e115edc5454b,2025-01-01T00:59:15,0,0,Stanbic IBTC,Zenith Bank,card,10896.15,0.9765,0
bf9edd54-6307-4a8e-ab8e-d50a074ad024,2025-01-01T01:00:01,0,1,GTBank,First Bank,bank_transfer,95560.62,0.8794,0
6a961ac0-8651-42a6-8fe9-17808b8c6b6e,2025-01-01T01:01:27,0,1,Kuda,Opay,card,19611.09,0.8127,0
73b76c57-8147-4a1e-ab0a-2fb548fb11f0,2025-01-01T01:03:51,0,1,GTBank,First Bank,bank_transfer,64114.32,0.8794,0
a7c8b7f1-2a3c-4faa-b292-ce8611e7a7ff,2025-01-01T01:04:47,0,1,Moniepoint,UBA,card,4841.07,0.8786,0
8afddb71-27de-4672-b089-a3856114cb36,2025-01-01T01:12:52,0,1,Zenith Bank,UBA,mobile_money,141336.39,0.734,1
5a8258cb-8d78-4a9b-ad87-adb64448cbb9,2025-01-01T01:18:08,0,1,GTBank,UBA,ussd,10674.41,0.8768,0
